,name,time,tweet
60,Didin,2022-05-29 14:31:02+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/w2UZasr5u9"
61,Davina,2022-05-29 14:30:10+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/baKzpqOGWz"
62,Andrian,2022-05-29 14:27:04+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/Mlhdl3ZUCQ"
63,Jajang Rustandi,2022-05-29 14:24:00+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/0kwTUkMZer"
64,Cassandra.,2022-05-29 14:23:42+00:00,"Yang paling simple; respon masyarakat terhadap korban kekerasan seksual. Daripada menyalahkan pelaku, masyarakat ce… https://t.co/nqpfNihd1V"
65,Herlan,2022-05-29 14:22:03+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/0fohAjQkZS"
66,Vita,2022-05-29 14:18:34+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/gDvZZifZTV"
67,Mafalah,2022-05-29 14:15:37+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/ytyuJpOmJU"
68,Nur Retno,2022-05-29 14:14:14+00:00,"bener2 deh indonesia darurat kekerasan seksual pada anak-anak. 
Pada gila x ya anak2 kecil yg d jadiin korban Ya Allah.."
69,Putri,2022-05-29 14:14:09+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/u4H0gYo3IJ"
70,Media Lintas Sumatera,2022-05-29 14:08:12+00:00,"Di Kala Perempuan Dirundung Kekerasan Seksual, Kepada Siapa Hendak Mengadu? | MediaLintasSumatera… https://t.co/Ldz0J3ua1J"
71,Dwita,2022-05-29 14:03:00+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/AFBBdzGbNe"
72,Siska,2022-05-29 14:01:17+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/Klx0bRJKKh"
73,Siti,2022-05-29 14:00:44+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/SxrPnvyYGP"
74,Asih,2022-05-29 13:59:17+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/YwBIfDRA4C"
75,Sidik,2022-05-29 13:59:02+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/CmUFq6w6Tm"
76,Winda,2022-05-29 13:54:22+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/mRYjWJt9xE"
77,Pikiran Rakyat Bekasi,2022-05-29 13:50:32+00:00,Kanada Siap Lindungi Wanita Ukraina yang Mengalami Kekerasan Seksual oleh Tentara Rusia https://t.co/K8inEErcY7
78,Santi,2022-05-29 13:50:01+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/gl7e0nNf14"
79,gufron,2022-05-29 13:49:18+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/BC0dG1I3EI"
80,Wendi,2022-05-29 13:49:02+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/QMLirMrJLZ"
81,Usan,2022-05-29 13:48:40+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/HZB3FICXJU"
82,Hidayat,2022-05-29 13:46:03+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/NuV3XVNsSL"
83,Arnova,2022-05-29 13:44:09+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/CtokykriLU"
84,Tia Majid,2022-05-29 13:38:13+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/F6091eKEt4"
85,KOMAHI FISIP UNRI,2022-05-29 13:37:20+00:00,"Bantu korban, kami, perempuan, kelompok rentan, manusia. Suarakan, di dalam jaringan atau di jalanan. Beritahu ke t… https://t.co/J30NSKwhLY"
86,KOMAHI FISIP UNRI,2022-05-29 13:37:18+00:00,"[6 Bulan Perlawanan]
⚠️Trigger Warning⚠️

Masih ingat dengan kasus kekerasan seksual yang terjadi di Universitas Ri… https://t.co/dc2CB8QL92"
87,leni,2022-05-29 13:34:33+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/rZa3qxo9Kk"
88,Dina,2022-05-29 13:34:20+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/hZS5aHswKz"
89,Gea,2022-05-29 13:28:36+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/oXK26k054J"
90,Nadya,2022-05-29 13:26:49+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/g74yCkeSQn"
91,Arsya,2022-05-29 13:26:45+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/PtuVnkvHzX"
92,Rutnia,2022-05-29 13:26:05+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/kqAZbFpiMK"
93,jilyy,2022-05-29 13:22:24+00:00,sejijik jijiknya manusia itu manusia yang belain pelaku kekerasan seksual. Sumpah manusia kaya gitu mending langsun… https://t.co/sMWjr7IUTf
94,NikenMiranda,2022-05-29 13:21:48+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/5RbaQGnV4d"
95,Denita,2022-05-29 13:18:31+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/ApaRM6LBUP"
96,Intan,2022-05-29 13:18:28+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/xPnIEXKbp0"
97,kangen,2022-05-29 13:17:15+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/rc27F1jKzM"
98,Dani,2022-05-29 13:16:28+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/LznJptuHnz"
99,Rudi,2022-05-29 13:14:26+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/Z62INBDx3x"
100,Silvia,2022-05-29 13:13:13+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa rrrUU yang penting, seperti UU tentang Tindak Pidana Kekerasan Sek… https://t.co/nLloqJHCKj"
101,Safita,2022-05-29 13:13:05+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/fEwjyVjYT2"
102,Agung,2022-05-29 13:11:15+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/FOqTo35xhL"
103,Leanne,2022-05-29 13:09:08+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/1YNd0RJaw4"
104,Ratna,2022-05-29 13:07:12+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/TasCUWCcDK"
105,Sabrina,2022-05-29 12:54:57+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/6TXWXT6Rsn"
106,Hesty,2022-05-29 12:53:20+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/9ZpoN9hctv"
107,Indria,2022-05-29 12:53:05+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/0k0rbHQawy"
108,cupluk,2022-05-29 12:52:56+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/CrYIiL041R"
109,Rina,2022-05-29 12:46:52+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/keXKh9aH3m"
110,Milla,2022-05-29 12:46:19+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/3pf6KCstwM"
111,Karina,2022-05-29 12:38:47+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/gHH9aMXpEB"
112,Nyayam,2022-05-29 12:36:09+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/z3bw3WZ0Xm"
113,Hilal,2022-05-29 12:35:42+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/CgU8R4L47V"
114,Santi,2022-05-29 12:32:29+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/oTpvA6i7h9"
115,Anantha,2022-05-29 12:25:08+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/Gt1C5yYBhk"
116,Putu Yulika,2022-05-29 12:19:59+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/5ofzGs3NOW"
117,bayu bagaskara,2022-05-29 12:18:03+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/ajXQD4oryN"
118,Asep,2022-05-29 12:14:40+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/esq8MUCJeO"
119,Rudi,2022-05-29 12:14:03+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/aKlLe7f780"
120,Echo,2022-05-29 12:13:31+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/ijcu2P8Sbo"
121,Jen Patel,2022-05-29 12:12:17+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/J2o6K0zkXA"
122,Kardino,2022-05-29 12:11:57+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/qowslHHRsI"
123,Amikanita,2022-05-29 12:10:04+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/YCXhBqyO7N"
124,Robim,2022-05-29 12:08:56+00:00,"@saniascipaaa Harus dilaporkan san, inimah masuk kekerasan seksual saat hajatan"
125,Lindungi Keluarga,2022-05-29 12:01:18+00:00,Anda juga dapat melihat jumlah kasus kekerasan dan kejahatan seksual di sekitar anda melalui peta di home https://t.co/EdVIyS0oPS
126,jago,2022-05-29 11:42:37+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/kxAMKWmM02"
127,Vera,2022-05-29 11:32:37+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/3mVZKj8Oop"
128,.,2022-05-29 11:31:42+00:00,@ISGARDIAN @mixfeelinggol @ariefjuhanda @_geraldgerald_ Lahh kenapa jadi harus jadi arahnya ke negor orang. Kocak a… https://t.co/TLEppGVvHi
129,T1D,2022-05-29 11:27:44+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/QUU4WdyFkj"
130,Bayu Hold,2022-05-29 11:16:49+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/z4A6IgeTkn"
131,ojol,2022-05-29 10:41:47+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/u1O25jYhsY"
132,Sagita,2022-05-29 10:36:29+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/iL0dhYmYtM"
133,BEM KM FMIPA UGM,2022-05-29 10:30:31+00:00,diharapkan mampu memberikan ketegasan dan kejelasan kepada warga FMIPA UGM berkaitan dengan sikap yang diambil oleh… https://t.co/p3NzB4tBzD
