,name,time,tweet
65,Sal20,2022-05-24 10:13:59+00:00,Sorry TM untuk Kali ini Aku Gk setuju ya ya Kali Gk ngamuk Aku sebagai cewek lihat dia ngomong gitu udah termasuk p… https://t.co/F4ImAYs7rx
66,detikcom,2022-05-24 10:07:44+00:00,Presiden SpaceX Gwynne Shotwell membela Elon Musk terkait kasus pelecehan seksual yang menjeratnya. Shotwell yakin… https://t.co/tOZYQQmTic
67,sobat inpepsa,2022-05-24 10:06:35+00:00,"Kalo atasan kita nih (cowo) nyolek² kita, itu udah termasuk pelecehan seksual bukan ya ?"
68,⚡️⚡️,2022-05-24 10:05:39+00:00,"@JaohariLatif ya wajar ngamuk. wanita dikasih pelecehan seksual secara verbal. banyak lho yang ngalamin, banyak pen… https://t.co/4t0oKWE9Kc"
69,⚡️⚡️,2022-05-24 10:03:58+00:00,"cnn masih mending cuma nulis komentar kotor, padahal itu bukan kotor, itu udah termasuk pelecehan seksual."
70,AwanBong,2022-05-24 10:03:35+00:00,"Gagal masuk klub pecinta alam artinya tidak memiliki peluang mendapatkan beasiswa.
Hampir 100% korban pelecehan sek… https://t.co/XkYvEguOh1"
71,Rin⁷,2022-05-24 09:50:57+00:00,"Duh duh duh, udah masuk pelecehan seksual secara verbal ga sih itu? Skill boleh jago, tapi attitude gaboleh minus d… https://t.co/WPJAjdj1jS"
72,L🥨,2022-05-24 09:46:12+00:00,"@starry_night623 Ank short track ada yg ngelakuin pelecehan seksual kak, ada juga yg ngeghibahin (sesuatu yg ga seb… https://t.co/L9CrXqFFQP"
73,Scopper Gaban,2022-05-24 09:39:57+00:00,Baca reply di twit ini kaget banget ternyata masih banyak orang indo yg mentolerir behavior/attitude yg mengarah ke… https://t.co/MubOYSwjRo
74,beautynesia.id,2022-05-24 09:36:50+00:00,"Elon Musk Bantah Lakukan Pelecehan Seksual ke Pramugari, Presiden SpaceX Ikut Membela https://t.co/4l2oVwbYGL"
75,Vaa✨,2022-05-24 09:26:15+00:00,"@CNNIndonesia Aku kagum sm permainanmu di lapangan. Tp soal attitude kamu yg di live itu parah bgt, kecewa bgt sih.… https://t.co/IshfOmsA43"
76,Vaa✨,2022-05-24 09:24:11+00:00,"@nettinginting Aku kagum sm permainanmu di lapangan. Tp soal attitude kamu yg di live itu parah bgt, kecewa bgt sih… https://t.co/1EXuhjwgXI"
77,stacy,2022-05-24 09:20:47+00:00,"Nah bener ini yg gua pikirin. Waktu pas ngejekin kevin di livenya aja netijen nyerang dia abis2an, apalagi ini udh… https://t.co/gpKmiOXAZL"
78,HIATUS•,2022-05-24 09:17:34+00:00,"@AraMauBigWin1 @nangkagembok Iya tau, tapi aku ngga expect juga kalo headline nya bakal pake kalimat pelecehan seks… https://t.co/7tWKpRQou8"
79,via,2022-05-24 09:03:56+00:00,"aduh mana headline beritanya ngeri banget, tercela, pelecehan seksual, duhhh ngeri ngerii"
80,HIATUS•,2022-05-24 08:55:21+00:00,"@nangkagembok Gilaaaaakkkk, header nya sampe pake kata ""pelecehan seksual"", ngeri sih tapi ya itu konsekuensinya. K… https://t.co/L4X12eoh3Q"
81,cctzu 🤟🏸 || stressed out😶,2022-05-24 08:53:19+00:00,"@magenta_jingga Sepertinya begitu kak..
Lagian cowo2 yg cat calling jg gabakal di gubris, saking ""butanya"" org2 ten… https://t.co/oDD35k5Qjd"
82,🌻,2022-05-24 08:53:05+00:00,@PbKami @nightclouds__ orang2 kaya lu gini nih yg bikin pelecehan seksual dinormalisasi. gws
83,Grace,2022-05-24 08:52:30+00:00,Gws juga buat kaum ngabers yang marah marah kenapa kasus ini dibikin rame. Welcome to the new world of social media… https://t.co/l0GkAdTOuT
84,EL,2022-05-24 08:50:35+00:00,"Ini dampaknya udh bukan soal sirkel aktivis kira Vs kanan.

Tahukah kamu jika kamu memakai kasus pelecehan seksual… https://t.co/WOsL6eyP6p"
85,zy.,2022-05-24 08:42:23+00:00,"Tf. Gue kira becandaan tongkrongan aja, i mean kirain masih becanda sama circle mereka. Meskipun sama circlenya ngo… https://t.co/WOHPYDKIqD"
86,Ikakusu,2022-05-24 08:39:25+00:00,"Daritadi kebanyakan yang belain tuh emak emak. Sebagai sesama emak emak, aku heran. Apa mereka emang ga melek2 amat… https://t.co/pn0fQe4tDg"
87,farah,2022-05-24 08:32:27+00:00,"@BadmintonLive1 Triggering warning: 

isi reply tweet ini penuh cowo2 ngabers yang memaklumi pelecehan seksual kare… https://t.co/njVhLkvaGA"
88,Dede²⁰ ya ampun,2022-05-24 08:30:44+00:00,gua liat bnyak banget thread di twitter critain pngalaman orang kaya pelecehan seksual misalkan. itu bikin efek dom… https://t.co/clnT0eaESP
89,widy.⁷,2022-05-24 08:24:38+00:00,Pelecehan seksual ini 🤮 https://t.co/ibq6qmINQ5
90,Tere Julie 🇮🇩,2022-05-24 08:17:13+00:00,"@ZonaBulutangkis @INABadminton Pdhl Kita lagi gencar2nya edukasi n kampanye ttg pelecehan seksual, masa iya anak in… https://t.co/zNjb2PTFus"
91,Lala,2022-05-24 08:16:00+00:00,@PbKami @nightclouds__ Itu pelecehan seksual bukan becanda
92,George Andrew,2022-05-24 08:15:19+00:00,"@Hilmi28 Termasuk kita jaga mereka dr chat mesum, sebar hoax, mengoyak tenun kebhinnekaan, radikalisme, intoleransi… https://t.co/TqFJnQF5R0"
93,UGM_FESS,2022-05-24 08:12:55+00:00,"ugm_fess TW // Sexual Harassment

Sadarkah kalian bahwa kasus pelecehan seksual di Indonesia banyak yang tak terung… https://t.co/JV8EuqyIZc"
94,dn,2022-05-24 08:01:27+00:00,"@txtdaricloudy @thalissuffering Halo @INABadminton, tolong dong dikasih tindakan. Ini bukan bercandaan. INI PELECEHAN SEKSUAL SECARA VERBAL."
